Name,Cuisine,Category,Location,Price
Aunt Jake's,Italian,Lunch/Dinner|Brunch,Greenwich Village|Little Italy,2
Magnolia Bakery,Bakery,Desserts,Greenwich Village,2
Laut,Thai|Southeast Asian,Lunch/Dinner,Chelsea,2
Thursday Kitchen,Korean,Drinks|Lunch/Dinner,East Village,2
Olio e Piu,Italian,Lunch/Dinner,Greenwich Village,2
uluh,Chinese,Lunch/Dinner,East Village,2
La Pecora Bianca,Italian,Lunch/Dinner,Nomad|Soho,2
Balthazar,French,Lunch/Dinner,Soho,3
Tacombi,Mexican,Lunch/Dinner|Drinks,Nolita|Greenwich Village|Nomad,2
Shoo Shoo Nolita,Mediterranean,Brunch,Nolita,2
AweSum Dim Sum,Dim Sum|Chinese,Brunch,Gramercy,2
Wayla,Thai,Lunch/Dinner,LES,2
Somtum Der,Thai,Lunch/Dinner,East Village,2
Ruby's Cafe,Australian,Lunch/Dinner|Brunch,Nolita|East Village,2
San Marzano,Italian,Lunch/Dinner,East Village,1
Clinton St Baking Co.,American,Brunch,LES,2
Bar Primi,Italian,Lunch/Dinner,East Village,2
Shuka,Mediterranean,Lunch/Dinner,South Village,2
Take 31,Korean,Lunch/Dinner,Koreatown,2
Agave,Mexican,Lunch/Dinner,Greenwich Village,2
Pardon My French,French,Lunch/Dinner,East Village,3
Berimbau Brazilian Kitchen,South American,Lunch/Dinner|Drinks,South Village,2
Chama Mama,Middle Eastern,Lunch/Dinner|Brunch,Chelsea,2
Russ & Daughters Cafe,Bagels,Brunch|Quick Bites,LES,2
19 Cleveland,Mediterranean,Brunch,Nolita,2
Banter,Australian,Brunch,South Village,2
The Wild Son,American,Brunch|Drinks,East Village,2
NOMO SOHO,American,Brunch,Soho,3
Baar Baar,Indian,Lunch/Dinner,East Village,3
Joe's Shanghai,Chinese,Lunch/Dinner,Chinatown,1
Prince St. Pizza,Pizza,Quick Bites,Nolita,1
Tompkins Square Bagels,Bagels,Brunch|Quick Bites,East Village,1
The Butcher's Daughter,American,Brunch,Nolita,2
Joe's Pizza,Pizza,Quick Bites,South Village|East Village|Midtown,1
Egg Shop,American,Brunch,Nolita,2
The Rice Noodle,Chinese,Lunch/Dinner,Greenwich Village,1
Jack's Wife Freda,Mediterranean,Brunch,Greenwich Village|Soho,3
Jacob's Pickles,American|Southern,Brunch|Lunch/Dinner,Upper West Side,2
Mimi Cheng's Dumplings,Chinese,Quick Bites,Nolita,1
Pinto Garden,Thai,Brunch|Lunch/Dinner,Greenwich Village,2
Soothr,Thai,Lunch/Dinner|Drinks,East Village,2
Amigo by Nai,Mexican,Lunch/Dinner,East Village,2
Dim Sum Palace,Dim Sum|Chinese,Brunch|Lunch/Dinner,East Village,2
Bar Verde,Mexican|Vegan,Lunch/Dinner,East Village,2
SESTINA,Italian|Vegan,Lunch/Dinner,East Village,2
Saigon Social,Vietnamese,Lunch/Dinner,LES,2
Mr. Taka,Japanese,Lunch/Dinner,LES,2
Gemma,Italian,Lunch/Dinner,East Village,2
Ho Foods,Taiwanese,Lunch/Dinner,East Village,2
886,Taiwanese,Lunch/Dinner,East Village,2
Good Thanks,Australian,Brunch,LES,2
Saramsam,Filipino|Vegan,Lunch/Dinner,East Village,3
Taqueria Diana,Mexican,Quick Bites,East Village,1
Pause Cafe,Mediterranean,Cafe|Brunch,LES,2
Congee Village,Chinese,Lunch/Dinner,LES,2
Prince Tea House,Tea,Desserts|Tea,East Village|Soho,2
Charley St,Australian,Brunch,Nolita,2
Dudley's,Australian,Brunch|Lunch/Dinner,LES,2
BoCaphe,Vietnamese,Brunch|Lunch/Dinner,Soho,2
Zooba,Mediterranean,Quick Bites,Nolita,1
Spicy Moon,Chinese|Vegan,Lunch/Dinner,East Village|Greenwich Village,1
outro,Australian,Brunch,East Village,2
Madam Ji,Indian,Lunch/Dinner|Brunch,Greenwich Village,2
Citizens Of,Australian,Brunch,Greenwich Village|Soho|Chelsea|Gramercy,2
Boqueria,Spanish,Brunch,Soho,3
Tortaria,Mexican,Lunch/Dinner,Greenwich Village,2
Raku,Japanese,Lunch/Dinner,South Village|East Village,2
Rasa,Southeast Asian,Lunch/Dinner,Greenwich Village,2
Jajaja,Mexican|Vegan,Lunch/Dinner,South Village,2
Little Owl,American,Brunch,Greenwich Village,2
Flipsigi,Filipino,Quick Bites,Greenwich Village,1
Golden Unicorn,Dim Sum|Chinese,Brunch,Chinatown,2
Nom Wah Tea Parlor,Dim Sum|Chinese,Brunch,Chinatown,2
Saigon Shack,Vietnamese,Lunch/Dinner,South Village,1
Huertas,Spanish,Lunch/Dinner,East Village,3
Suki,Japanese,Lunch/Dinner,East Village,2
Sabai,Thai,Lunch/Dinner,Nomad,2
Blank Slate Coffee,Coffee,Cafe|Brunch,Nomad,2
Two Hands,Australian,Brunch,East Village,2
The Grey Dog,American,Brunch,Greenwich Village|Nolita,2
TacoVision,Mexican,Lunch/Dinner,Midtown,2
Risotteria Melotti,Italian,Lunch/Dinner,East Village,2
Goodnight Sonny,Bar,Bar|Drinks,East Village,2
Ludlow Coffee Supply,Coffee,Cafe,LES,1
Kona Coffee Co,Coffee,Cafe,East Village,1
MUD,Coffee,Cafe,East Village,1
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho,2
Urban Backyard,Coffee,Cafe,Nolita,1
Oh K-Dog,Korean,Quick Bites,LES,1
Xi'an Famous Foods,Chinese,Quick Bites,Chelsea|Chinatown|Upper East Side,1
Harbs,Japanese,Desserts,Soho,2
Levain Bakery,Bakery,Desserts,Noho|Upper East Side,1
Bar Belly,Bar,Bar|Drinks,LES,2
Souvlaki GR,Mediterranean,Lunch/Dinner,LES,2
Wah Fung No 1 Fast Food,Chinese,Quick Bites,Chinatown,1
Itaewon Pocha,Korean,Bar|Drinks,Koreatown,2
BCD Tofu House,Korean,Lunch/Dinner,Koreatown,2
Grace Street Cafe,Korean,Desserts|Cafe,Koreatown,2
Gammeeok,Korean,Lunch/Dinner,Koreatown,2
The Alley,Tea,Tea,East Village,1
Debutea,Tea,Tea,Greenwich Village,1
YiFang Fruit Tea,Tea,Tea,Chinatown,1
Refinery Rooftop,Bar,Drinks|Rooftop|Bar,Midtown,3
Rosemary's,Italian,Lunch/Dinner,Greenwich Village,2
Lola Taverna,Mediterranean,Lunch/Dinner,South Village,2
Jaiya,Thai,Lunch/Dinner,Kips Bay,2
Barn Joo,Korean,Lunch/Dinner,Chelsea,2
Buenos Aires,South American,Lunch/Dinner,East Village,3
Great NY Noodletown,Chinese,Lunch/Dinner,Chinatown,1
Klong,Thai,Lunch/Dinner|Drinks,East Village,2
Xe May Sandwich Shop,Vietnamese,Quick Bites,East Village,1
Veselka,Eastern European,Lunch/Dinner|Brunch,East Village,2
Mr. Purple,Bar,Drinks|Rooftop|Bar,LES,3
The Top of the Standard,Bar,Drinks|Rooftop|Bar,Chelsea,4
Laduree,French,Desserts|Brunch,Soho|Upper East Side,3
KENKA,Japanese,Lunch/Dinner,East Village,1
The Granddaddy,Coffee,Cafe,LES,1
Milk & Cream Cereal Bar,Ice Cream,Desserts,Little Italy,1
Keki Modern Cakes,Japanese|Bakery,Desserts,Chinatown|Koreatown,1
Sweet Moment,Korean,Desserts,Little Italy,2
Clay Pot,Chinese,Lunch/Dinner,Greenwich Village,1
Simo Pizza,Pizza,Quick Bites,Chelsea,1
Boucherie,French,Lunch/Dinner|Desserts,Greenwich Village|Midtown|Gramercy,3
Little Cupcake Bakeshop,Bakery,Desserts,Nolita,1
Spot Dessert Bar,Asian,Desserts,East Village,2
Lazy Llama Coffee Bar,Coffee,Cafe,East Village,1
787 Coffee,Coffee,Cafe,East Village|Gramercy,1
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,1
Tonii's Fresh Rice Noodle,Chinese,Quick Bites,Chinatown,1
Sobaya,Japanese,Lunch/Dinner,East Village,2
Solas Bar,Bar,Drinks|Bar,East Village,2
Udon West,Japanese,Lunch/Dinner,East Village,1
JOJU,Vietnamese,Quick Bites,Midtown,2
The Spaniard,Bar|American,Drinks|Lunch/Dinner,South Village,2
Top Thai,Thai,Lunch/Dinner,Greenwich Village,2
Murray's Mac and Cheese,American,Quick Bites,South Village,1
Elsie Rooftop,Bar,Drinks|Rooftop|Bar,Midtown,3
Cafe China,Chinese,Drinks|Lunch/Dinner,Midtown,2
Sunday to Sunday,American,Brunch|Cafe,LES,2
The Maze,Korean,Bar|Drinks,Koreatown,2
Samwon Garden,Korean,Drinks|Lunch/Dinner,Koreatown,3
Five Senses,Korean,Lunch/Dinner,Koreatown,2
bb.q Chicken,Korean,Quick Bites,Koreatown,1
Joe's Steam Rice Roll,Chinese,Quick Bites,Chinatown,1
Epistrophy,Italian,Drinks,Nolita,2
Soho Park,American,Drinks|Lunch/Dinner,Soho,2
Pera Soho,Mediterranean,Drinks|Lunch/Dinner,Soho,2
Dominique Ansel,Bakery,Desserts,Soho,2
La Colombe,Coffee,Cafe,Soho|Noho|Midtown|FiDi,1
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,2
K'ook,Korean,Lunch/Dinner,East Village,2
Noree Thai Bazaar,Thai,Lunch/Dinner,LES,2
Piacere,Italian,Lunch/Dinner,Little Italy,2
Asuka Sushi,Japanese,Lunch/Dinner,Chelsea,2
The Mercer Kitchen,American,Brunch|Lunch/Dinner|Drinks,Soho,3
Fish Cheeks,Thai,Lunch/Dinner,Noho,2
Taiyaki,Japanese,Desserts,Chinatown,1
Spaghetti Incident,Italian,Lunch/Dinner,LES,2
Sonnyboy,Australian,Brunch|Lunch/Dinner,LES,2
Davelle,Japanese,Brunch|Cafe,LES,2
Sweet Chick,American,Quick Bites,LES,2
Macchina,Italian,Lunch/Dinner,Kips Bay,2
Bao Bao Cafe,Asian,Lunch/Dinner,Kips Bay,1
Caffe Buon Gusto,Italian,Lunch/Dinner,Upper East Side,2
Mamasita Bar & Grill,Mexican,Lunch/Dinner,Hell's Kitchen,2
Cantina Rooftop,Mexican,Rooftop|Drinks|Lunch/Dinner,Hell's Kitchen,2
Bibble & Sip,Bakery,Desserts|Quick Bites,Hell's Kitchen|Little Italy,2
Lafayette Grand Cafe,Bakery|French,Lunch/Dinner|Desserts|Cafe|Brunch,Noho,3