name,cuisine,category,location,price,lat,lng
Mymy,American,Brunch,Nob Hill,2,37.7909126,-122.4192199
farm : table,American,Brunch,Lower Nob Hill,2,37.7876956,-122.4143293
House of Thai,Thai,Lunch/Dinner,Lower Nob Hill,2,37.78628459999999,-122.4183384
Salt & Straw,Ice Cream,Desserts|Quick Bites,Hayes Valley|Pacific Heights,1,37.776618,-122.4260455
Salt & Straw,Ice Cream,Desserts|Quick Bites,Hayes Valley|Pacific Heights,1,37.789978,-122.4342041
Jane The Bakery,American,Bakery|Brunch|Cafe,Polk Gulch|Pacific Heights|Western Addition,2,37.7837438,-122.4342764
Jane on Larkin,American,Brunch|Cafe,Polk Gulch|Pacific Heights|Western Addition,2,37.7864605,-122.4183232
Jane on Fillmore,American,Brunch|Cafe,Polk Gulch|Pacific Heights|Western Addition,2,37.7893607,-122.4341389
Tropisueno,Mexican,Lunch/Dinner|Drinks,Yerba Buena,2,37.7853583,-122.40405
Tartine Manufactory,American,Brunch|Cafe,Mission,2,37.7618278,-122.4118972
El Techo,Mexican,Bar|Drinks|Rooftop,Mission,2,37.756576,-122.4190831
Doppio Zero,Italian,Lunch/Dinner,Hayes Valley,2,37.7767846,-122.4227688
Lers Ros Thai,Thai,Lunch/Dinner,Hayes Valley,2,37.7769044,-122.4217422
Souvla,Mediterranean,Quick Bites|Lunch/Dinner,Hayes Valley|Marina/Cow Hollow|Nopa|Mission,2,37.7608327,-122.4216879
Souvla,Mediterranean,Quick Bites|Lunch/Dinner,Hayes Valley|Marina/Cow Hollow|Nopa|Mission,2,37.776525,-122.4250028
Souvla,Mediterranean,Quick Bites|Lunch/Dinner,Hayes Valley|Marina/Cow Hollow|Nopa|Mission,2,37.7745311,-122.4378602
Souvla,Mediterranean,Quick Bites|Lunch/Dinner,Hayes Valley|Marina/Cow Hollow|Nopa|Mission,2,37.8003688,-122.4408124
DragonEats,Vietnamese,Lunch/Dinner|Quick Bites,Hayes Valley|Rincon Hill|Haight-Ashbury,1,37.7863714,-122.3953302
DragonEats,Vietnamese,Lunch/Dinner|Quick Bites,Hayes Valley|Rincon Hill|Haight-Ashbury,1,37.7783681,-122.4231481
DragonEats,Vietnamese,Lunch/Dinner|Quick Bites,Hayes Valley|Rincon Hill|Haight-Ashbury,1,37.769494,-122.4501104
Pazzia Ristorante Italiano,Italian,Lunch/Dinner,Yerba Buena,2,37.7834179,-122.3980356
Son & Garden,American,Brunch|Drinks|Lunch/Dinner,Tenderloin,2,37.783379,-122.419113
Waterbar,Seafood,Lunch/Dinner,Embarcadero,3,37.7904926,-122.3890417
Phonobar,Bar,Bar|Drinks,Hayes Valley,2,37.7779933,-122.4228274
Bi-Rite Creamery,Ice Cream,Desserts|Quick Bites,Mission,1,37.76159,-122.425717
Wise Sons Jewish Deli,Jewish,Brunch|Quick Bites,Hayes Valley|Western Addition|Embarcadero|Yerba Buena|Mission,2,37.752634,-122.41536
Wise Sons Jewish Deli,Jewish,Brunch|Quick Bites,Hayes Valley|Western Addition|Embarcadero|Yerba Buena|Mission,2,37.786069,-122.403616
Wise Sons Jewish Deli,Jewish,Brunch|Quick Bites,Hayes Valley|Western Addition|Embarcadero|Yerba Buena|Mission,2,37.7946553,-122.3929555
Wise Sons Jewish Deli,Jewish,Brunch|Quick Bites,Hayes Valley|Western Addition|Embarcadero|Yerba Buena|Mission,2,37.783668,-122.432497
Wise Sons Jewish Deli,Jewish,Brunch|Quick Bites,Hayes Valley|Western Addition|Embarcadero|Yerba Buena|Mission,2,37.7767789,-122.4257372
Lady Falcon Coffee Club,Coffee,Cafe,Alamo Square,1,37.776091,-122.4340294
a Mano,Italian,Lunch/Dinner|Drinks,Hayes Valley,2,37.7768993,-122.4240297
Sightglass Coffee,Coffee,Cafe|Brunch,Lower Haight|Soma|Mission,2,37.7592345,-122.4113171
Sightglass Coffee,Coffee,Cafe|Brunch,Lower Haight|Soma|Mission,2,37.7770356,-122.4084543
Sightglass Coffee,Coffee,Cafe|Brunch,Lower Haight|Soma|Mission,2,37.771388,-122.4391158
Ritual Coffee Roasters,Coffee,Cafe,Hayes Valley|Haight-Ashbury|Mission,2,37.7564253,-122.4214111
Ritual Coffee Roasters,Coffee,Cafe,Hayes Valley|Haight-Ashbury|Mission,2,37.7763909,-122.4241939
Ritual Coffee Roasters,Coffee,Cafe,Hayes Valley|Haight-Ashbury|Mission,2,37.7705531,-122.4438393
Chez Maman,French,Lunch/Dinner|Date Night,Potrero Hill|Hayes Valley,2,37.7624483,-122.3967107
Chez Maman,French,Lunch/Dinner|Date Night,Potrero Hill|Hayes Valley,2,37.7770405,-122.4231768
Nojo Ramen Tavern,Japanese|Ramen,Lunch/Dinner|Drinks,Hayes Valley,2,37.7767268,-122.4214764
Pagan Idol,Bar,Bar|Drinks,Fidi,2,37.7907439,-122.4036859
Udon Mugizo,Japanese|Udon,Lunch/Dinner,Japantown,2,37.7849587,-122.4321287
Kevin's Noodle House,Vietnamese,Lunch/Dinner|Noodles,Outer Sunset,1,37.7633596,-122.4777946
Papito,Mexican,Lunch/Dinner|Drinks,Hayes Valley|Potrero Hill,2,37.7767098,-122.4234085
Papito,Mexican,Lunch/Dinner|Drinks,Hayes Valley|Potrero Hill,2,37.7624549,-122.3971221
Novela,Bar,Bar|Drinks,Yerba Buena,2,37.787097,-122.40136
Stable Cafe,American,Cafe|Brunch,Mission,2,37.763225,-122.4153583
Abanico Coffee Roasters,Coffee,Cafe,Mission,2,37.7629894,-122.4192999
Mr. Tipple's Recording Studio,Bar,Bar|Drinks,Civic Center,2,37.7763698,-122.4185846
Urban Ritual Cafe,Tea,Tea,Hayes Valley,2,37.7757014,-122.4258572
Dumpling Time,Chinese|Dim Sum,Lunch/Dinner|To Share,Design District,2,37.7696917,-122.4023889
Farmhouse Kitchen Thai Cuisine,Thai,Lunch/Dinner,Mission,2,37.7601894,-122.4114198
Ozumo,Japanese,Lunch/Dinner|Drinks,Embarcadero,3,37.7926439,-122.3922179
Marafuku Ramen,Japanese|Ramen,Lunch/Dinner,Japantown,2,37.7851757,-122.4320003
Daeho,Korean,Lunch/Dinner|Drinks,Japantown,2,37.78588269999999,-122.4285535
Cafe Reveille,American,Cafe|Brunch,Lower Haight|Mission Bay|Russian Hill,2,37.7710697,-122.4320952
Cafe Reveille,American,Cafe|Brunch,Lower Haight|Mission Bay|Russian Hill,2,37.7948652,-122.4213815
Cafe Reveille,American,Cafe|Brunch,Lower Haight|Mission Bay|Russian Hill,2,37.7735205,-122.3916911
Akira,Japanese,Lunch/Dinner,Lower Pacific Heights,2,37.7883278,-122.4241861
Blackwood,American|Thai,Brunch|Lunch/Dinner|Drinks,Marina/Cow Hollow,2,37.8007101,-122.4388058
Taqueria Cancun,Mexican,Lunch/Dinner|Quick Bites,Mission|Soma|Bernal Heights,1,37.7604861,-122.4194111
Taqueria Cancun,Mexican,Lunch/Dinner|Quick Bites,Mission|Soma|Bernal Heights,1,37.7819686,-122.410317
Taqueria Cancun,Mexican,Lunch/Dinner|Quick Bites,Mission|Soma|Bernal Heights,1,37.7453604,-122.4199087
Rich Table,American,Lunch/Dinner,Hayes Valley,3,37.7748657,-122.4228497
The Mill,Coffee,Cafe|Brunch,Nopa,2,37.7764861,-122.4378944
Foreign Cinema,American,Brunch|Lunch/Dinner|Date Night|Drinks,Mission,3,37.7564917,-122.4191194
Delarosa,Italian,Lunch/Dinner,Yerba Buena|Marina/Cow Hollow,2,37.7858351,-122.404415
Delarosa,Italian,Lunch/Dinner,Yerba Buena|Marina/Cow Hollow,2,37.8002893,-122.439106
Stonemill Matcha,Japanese,Cafe|Brunch,Mission,2,37.7639681,-122.4216256
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.78781250000001,-122.4029131
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.7892025,-122.4098192
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.7910068,-122.4012623
Bluestone Lane,Australian,Brunch|Cafe,Fidi|Soma|Lower Nob Hill|Union Square,2,37.788651,-122.4002881
Bob's Donut and Pastry Shop,Bakery,Desserts|Quick Bites,Polk Gulch,1,37.7918769,-122.4212009
Sweet Maple,American,Brunch,Lower Pacific Heights,2,37.78570819999999,-122.4351203
Surisan,Korean,Brunch|Lunch/Dinner,Fisherman's Wharf,2,37.8067911,-122.417499
The Coffee Movement,Coffee,Cafe,Chinatown,1,37.7947671,-122.4102942
Beretta,Italian,Lunch/Dinner|Drinks,Nopa|Mission,2,37.7538556,-122.4206327
Beretta,Italian,Lunch/Dinner|Drinks,Nopa|Mission,2,37.77574329999999,-122.4382528
Sasa Japanese Restaurant,Japanese|Sushi,Lunch/Dinner|Date Night,Japantown,3,37.7852831,-122.4293591
Uji Time Dessert,Japanese,Desserts|Quick Bites,Japantown|Yerba Buena,1,37.7852472,-122.4291833
Uji Time Dessert,Japanese,Desserts|Quick Bites,Japantown|Yerba Buena,1,37.784291,-122.4035472
The Madrigal,Bar,Bar|Drinks,Civic Center,2,37.7767256,-122.4192093
Noosh,Mediterranean,Lunch/Dinner|Brunch|Date Night|Drinks,Lower Pacific Heights,2,37.7880414,-122.4338098
On the Bridge,Japanese,Lunch/Dinner|Drinks,Japantown,2,37.7850467,-122.4316452
Jikasei Mensho,Japanese|Ramen,Quick Bites|Lunch/Dinner,Soma,2,37.7763173,-122.4167676
Good Mong Kok Bakery,Chinese|Dim Sum,Lunch/Dinner|Quick Bites|To Share,Chinatown,1,37.795455,-122.408356
Dim Sum Bistro,Chinese|Dim Sum,Lunch/Dinner|Quick Bites|To Share,Chinatown,1,37.7975803,-122.4081677
Miss Saigon,Vietnamese,Lunch/Dinner,Soma,1,37.7807802,-122.408721
Burma Superstar,Burmese|Southeast Asian,Lunch/Dinner,Inner Richmond,2,37.78281399999999,-122.4625643
LITTLE SWEET,Tea|Asian,Desserts|Tea|Quick Bites,Inner Richmond|Union Square|Inner Sunset,2,37.7865938,-122.4059587
LITTLE SWEET,Tea|Asian,Desserts|Tea|Quick Bites,Inner Richmond|Union Square|Inner Sunset,2,37.7649409,-122.46666
LITTLE SWEET,Tea|Asian,Desserts|Tea|Quick Bites,Inner Richmond|Union Square|Inner Sunset,2,37.7814126,-122.4606499
Wilder,American|Bar,Bar|Brunch|Drinks|Lunch/Dinner,Marina/Cow Hollow,2,37.79881650000001,-122.4357307
BAIA,Italian|Vegan,Date Night,Hayes Valley,2,37.7781634,-122.4217955
State Bird Provisions,American,To Share|Lunch/Dinner,Western Addition,3,37.7836806,-122.4330028
Kahnfections,Bakery,Brunch|Quick Bites|Cafe,Mission,1,37.7587553,-122.4152538
Wooden Spoon,American,Brunch,Duboce Triangle,2,37.7666797,-122.4305067
Alnico,Asian|American,Brunch|Drinks,Mission,2,37.755944,-122.421318
um.ma,Korean,Lunch/Dinner|Drinks|To Share,Inner Sunset,2,37.7655061,-122.466241
Lao Table,Southeast Asian|Laotian,Lunch/Dinner|Drinks,Fidi,2,37.7874903,-122.3987098
Che Fico,Italian,Date Night|Drinks|Lunch/Dinner,Nopa,3,37.7774971,-122.4380182
Korner Store,Korean|Bar,Bar|Quick Bites|To Share,Mission,1,37.7610855,-122.4217328
Blondie's Bar,Bar,Bar|Drinks,Mission,2,37.764216,-122.4221214
Cafe Hana,Tea|Coffee|Japanese,Tea|Quick Bites,Japantown,1,37.7851991,-122.4303062
Craftsman and Wolves,Bakery,Bakery|Quick Bites|Cafe|Brunch,Mission,2,37.7609056,-122.4216833
Dancing Yak,Nepalese,Lunch/Dinner|Date Night|Drinks|To Share,Mission,2,37.7685299,-122.4225396
Arcana,Bar|Wine,Bar|Drinks|Date Night,Mission,2,37.7567338,-122.4192231
Propagation,Bar,Bar|Drinks,Lower Nob Hill,2,37.7871798,-122.4164241
Shuggie's,American|Pizza,Lunch/Dinner|Drinks,Mission,3,37.7536884,-122.4195459
Happy Shabu Shabu,Japanese,To Share,Western Addition,2,37.7824491,-122.4326914
Automat,American|Bakery,Bakery|Brunch|Lunch/Dinner|Drinks,Nopa,2,37.7772103,-122.4419555
Mi Familia Taqueria,Mexican,Lunch/Dinner|Quick Bites,Haight-Ashbury,1,37.7693024,-122.451731
Pizzeria Delfina,Pizza|Italian,Lunch/Dinner|Drinks,Pacific Heights|Mission,2,37.7889721,-122.4343201
Pizzeria Delfina,Pizza|Italian,Lunch/Dinner|Drinks,Pacific Heights|Mission,2,37.7613671,-122.4243616
Ocean Beach Cafe,Cafe,Cafe|Brunch|Quick Bites,Outer Sunset,2,37.7745996,-122.5106059
Moongate Lounge,Bar|Chinese,Bar|Drinks|Date Night,Chinatown,2,37.7937209,-122.4066555
Bottle Club Pub,Bar,Bar|Drinks,Tenderloin,2,37.7866605,-122.4124094
Na Ya Dessert Cafe,Asian|Cafe,Desserts|Cafe,Hayes Valley|Inner Richmond,2,37.7806373,-122.4768617
Na Ya Dessert Cafe,Asian|Cafe,Desserts|Cafe,Hayes Valley|Inner Richmond,2,37.7772306,-122.4248817
jina bakes,Bakery|Cafe,Bakery|Cafe|Quick Bites,Japantown,2,37.7849195,-122.4318719
Ragazza,Italian,Lunch/Dinner,Lower Haight,2,37.7724494,-122.4374639
La Taqueria,Mexican,Lunch/Dinner|Quick Bites,Mission,1,37.75087860000001,-122.4181833
The Bird,American|Chicken,Lunch/Dinner|Quick Bites,Hayes Valley|Yerba Buena,1,37.7872367,-122.4000993
The Bird,American|Chicken,Lunch/Dinner|Quick Bites,Hayes Valley|Yerba Buena,1,37.7769577,-122.4232471
Rise & Grind Coffee,Cafe|Coffee,Cafe,Inner Richmond|Mission,1,37.7737174,-122.4661482
Rise & Grind Coffee,Cafe|Coffee,Cafe,Inner Richmond|Mission,1,37.7558053,-122.4145989
LUNA Kitchen,Bar|American,Bar|Brunch|Lunch/Dinner|Drinks,Mission,2,37.7618861,-122.4219171
Fig & Thistle,Bar|Wine,Bar|Drinks,Hayes Valley,2,37.7772496,-122.4232435
