name,cuisine,category,location,price,lat,lng,area
KAVA Neo-Taverna,Greek,Brunch|Lunch/Dinner|Drinks|Date Night,Boston,3,42.3423572,-71.0705134,Greater Boston Area
Sulmona,Italian,Date Night|Lunch/Dinner|Drinks,Cambridge,3,42.362877,-71.0938662,Greater Boston Area
Flour Bakery + Cafe,Bakery|American,Lunch/Dinner|Quick Bites|Brunch,Boston|Cambridge,2,42.3384328,-71.0745812,Greater Boston Area
Flour Bakery + Cafe,Bakery|American,Lunch/Dinner|Quick Bites|Brunch,Boston|Cambridge,2,42.35123,-71.0487471,Greater Boston Area
Bostonia Public House,Bar|American,Drinks|Lunch/Dinner|Brunch,Boston,2,42.3591798,-71.0544305,Greater Boston Area
Cafe Luna,American,Brunch,Cambridge,2,42.362912,-71.0942444,Greater Boston Area
Greco,Greek,Quick Bites,Boston,1,42.34999699999999,-71.08165629999999,Greater Boston Area
Shinmio,Tea,Tea,Boston,1,42.3468132,-71.10569629999999,Greater Boston Area
Tatte Bakery & Cafe,Bakery|Cafe,Brunch|Cafe|Desserts,Boston|Cambridge,2,42.3438272,-71.0997119,Greater Boston Area
Tatte Bakery & Cafe,Bakery|Cafe,Brunch|Cafe|Desserts,Boston|Cambridge,2,42.3579265,-71.0706355,Greater Boston Area
Itadaki,Japanese,Lunch/Dinner|Noodles,Boston,2,42.3494845,-71.0835534,Greater Boston Area
April 23 Florist & Cafe,Cafe|Tea|Bakery,Quick Bites|Tea,Boston,1,42.3497779,-71.0810953,Greater Boston Area
Cafe Bonjour,American,Brunch,Boston,2,42.3548278,-71.0617996,Greater Boston Area
Citrus & Salt,Mexican,Lunch/Dinner|Drinks,Boston,3,42.3489004,-71.07209259999999,Greater Boston Area
Committee,Mediterranean,Brunch|Drinks|Lunch/Dinner,Boston,3,42.3533747,-71.0463729,Greater Boston Area
Frank Pepe Pizzeria Napoletana,Pizza,Lunch/Dinner,Newton|Watertown,2,42.3620534,-71.1617946,Greater Boston Area
Frank Pepe Pizzeria Napoletana,Pizza,Lunch/Dinner,Newton|Watertown,2,42.3232119,-71.1825243,Greater Boston Area
Hei La Moon,Chinese|Dim Sum,To Share|Lunch/Dinner|Brunch,Boston,2,42.3523984,-71.0602081,Greater Boston Area
Dumpling Cafe,Chinese,Lunch/Dinner,Boston,1,42.3512559,-71.0630116,Greater Boston Area
Sweet Waffles + Boba,Bakery|Tea,Desserts|Tea|Quick Bites,Boston,1,42.3505659,-71.06001789999999,Greater Boston Area
Crave Chinatown,Asian,Lunch/Dinner|Drinks,Boston,2,42.3501638,-71.0607931,Greater Boston Area
Earls Kitchen + Bar,Bar|American,Lunch/Dinner|Drinks,Boston,2,42.395712,-71.0800187,Greater Boston Area
Destroyer,Scandinavian,Brunch,Los Angeles,2,34.0246417,-118.3835128,Southern California
Sun Nong Dan,Korean,Lunch/Dinner|Drinks,Los Angeles,2,34.0634242,-118.2994354,Southern California
The Little Door,European,Date Night|Lunch/Dinner|Drinks,Los Angeles,4,34.0720931,-118.3675088,Southern California
Driftwood Kitchen,Seafood,Lunch/Dinner|Date Night|Brunch,Laguna Beach,3,33.5386199,-117.783311,Southern California
Jin Tea House,Tea,Tea,West Covina,1,34.0088036,-117.8995812,Southern California
85Â°C Bakery Cafe,Bakery|Taiwanese,Cafe|Tea|Desserts|Quick Bites,Los Angeles,1,34.093428,-118.130162,Southern California
Tsujita LA Artisan Noodles,Japanese,Noodles|Lunch/Dinner,Los Angeles,1,34.03957,-118.4426767,Southern California
Eggslut,American,Brunch,Los Angeles,2,34.0505885,-118.2486089,Southern California
Alfred Tea Room,Tea,Tea,Los Angeles,2,34.0838591,-118.3754984,Southern California
Din Tai Fung,Taiwanese|Dim Sum,Lunch/Dinner|To Share,Los Angeles,2,34.0581907,-118.4172823,Southern California
Gjusta,Bakery,Quick Bites,Los Angeles,2,33.9952826,-118.4746258,Southern California
Gjelina,American,Lunch/Dinner|Brunch,Los Angeles,3,33.9904905,-118.464937,Southern California
Bottega Louie,Italian,Lunch/Dinner|Desserts|Brunch,Los Angeles,3,34.0470524,-118.2565439,Southern California
La Isla Bonita,Mexican,Quick Bites,Los Angeles,1,33.9974221,-118.4750973,Southern California
OMOMO Tea Shoppe,Tea,Tea,Irvine,1,33.6760395,-117.7936913,Southern California
TANAKAYA Japanese Soba Restaurant,Japanese,Noodles|Lunch/Dinner,Tustin,2,33.7388181,-117.829452,Southern California
Chosun Galbee,Korean,Lunch/Dinner|To Share,Los Angeles,3,34.0524295,-118.310468,Southern California
